PIERWSZE_IMIĘ,DRUGIE_IMIĘ,NAZWISKO,DATA URODZENIA
KLAUDIA,ALEKSANDRA,BIEGUN,02-06-1954
MARTYNA,ANNA,PRZYWARA,31-07-1948
STANISŁAWA,AGATKA,KOVSHAR,17-10-1946
ROMANA,MARIA,SZULŻYCKA,14-08-1998
MARTA,ALICJA,KOBYLIŃSKA,18-03-1980
AGNIESZKA,MONIKA,WALCZAK,19-04-1947
KAROLINA,WIKTORIA,OCHAB,01-01-1929
ELŻBIETA,JULIA,GŁUSZAK,06-02-1968
CZESŁAWA,TERESA,RUTKOWSKA,14-09-1983
JOWITA,BARBARA,WÓJCIK,29-03-1979
KAZIMIERA,MARIA,KRZYSZTYŃSKA,03-09-1954
MARTA,BOGUSŁAWA,KROCZEK,27-05-1996
IVANA,KRYSTYNA,ZIELIŃSKA,08-10-1993
EMILIA,MARIA,WZOREK,27-08-1940
KLARA,MONIKA,KORCZYK,20-02-2014
BOGUSŁAWA,KATARZYNA,KOZŁOWSKA,17-08-2013
AGNIESZKA,AGNIESZKA,CHOJECKA,27-07-1943
MAŁGORZATA,TERESA,SKIBA,20-03-1970
TERESA,PATRYCJA,SUCHY,23-12-1963
OLHA,NATALIA,KRYSZTOFOWICZ,31-03-2019
MARIOLA,ELŻBIETA,ŁAPOT,11-07-1983
BOŻENA,MARIA,GWISZCZ,25-03-2000
DOROTA,AGNIESZKA,SOCHACKA,20-08-1931
LARYSA,EWA,MYŚLICKA,11-01-1968
ŁUCJA,ANNA,LUZEŃCZYK,10-08-1995
ANNA,MARIA,GRUSZCZYŃSKA,02-06-1989
BEATA,MARIA,NEUDEK,27-12-1996
EWELINA,JADWIGA,PODLASZEWSKA,19-12-1949
EWELINA,HALINA,GABRYELSKA,17-09-1933
KINGA,MAŁGORZATA,KĘSY,17-04-1944
GABRIELA,JÓZEFA,MISIOŁEK,21-09-2004
KATARZYNA,MAŁGORZATA,BOCHNIAK,15-10-1996
KAMILA,MATYLDA,DROBIAZGIEWICZ,13-07-2008
ANETA,ANN,KARCZ,24-06-1945
ALEKSANDRA,ANNA,SKALSKA,25-04-2010
IZABELA,BARBARA,PASTUSZKA,30-01-2001
KARINA,URSZULA,KWIATKOWSKA,03-10-2021
WERONIKA,FAUSTYNA,DROBISZEWSKA,29-03-1987
ZOFIA,IRENA,CIORUŃ,09-04-1924
MARIOLA,DOROTA,CHMIELAK,26-03-1977
URSZULA,HALINA,DRABIK,21-06-2001
JOANNA,CECYLIA,MYŚLIŃSKA,22-12-1965
KATERYNA,BARBARA,JABŁOŃSKA,15-09-1976
CECYLIA,TERESA,CZARNECKA,15-09-1997
AGATA,KLAUDIA,ADAMSKA,21-07-2005
IVANNA,BARBARA,LICHOROBIEC,10-04-2003
BARBARA,MARIA,KSIĄŻEK,17-08-1986
LENA,MARIA,PONIEWOZIK,01-03-2014
MAGDA,NATALIA,KOŃCZYK,01-01-1967
GRAŻYNA,MARIA,DĄBROWSKA,31-07-1980
MARTA,ZOFIA,SKABA,11-02-1925
ELIZA,MAŁGORZATA,KASZTELAN,13-03-1963
RÓŻA,NATALIA,LASZUK,26-06-1978
KARINA,MAŁGORZATA,WILCZEK,19-01-1934
SABINA,ELŻBIETA,LEONIAK,21-03-1960
ANNA,TERESA,OLIWIAK,13-07-1993
OLIWIA,ANNA,TARKOWSKA,18-04-1964
HALINA,JANINA,GROŃSKA,16-04-2021
PAULINA,MAGDALENA,WALCZAK,16-01-2003
GENOWEFA,ZUZANNA,ŁYSEK,26-08-2009
WIOLETTA,ILONA,JOSCHKO,14-06-1951
ALEKSANDRA,URSZULA,WILCZYŃSKA,21-11-1930
MAŁGORZATA,JÓZEFA,ŻELAZOWSKA,23-07-1970
OLA,ANNA,NOWAK,03-07-1953
ANNA,KAZIMIERA,MALINOWSKA,18-11-1969
MAGDALENA,SYLWIA,PAWLIKOWSKA,31-05-1962
EWA,ANNA,CZARNECKA,13-01-1998
NINA,URSZULA,KŁOSEK,28-02-2012
ALEKSANDRA,LAURA,PRZYBYTKOWSKA,24-02-1942
JOLENTA,STANISŁAWA,CIOŁEK-ŻELECHOWSKA,12-11-2021
NATALIA,AGNIESZKA,LEJA,09-08-1965
OLIWIA,JOLANTA,FRYCZ,15-10-1967
EWA,JANINA,TONDERA,18-06-1990
DARIA,EWA,MALIK,20-09-1977
MARIA,ANNA,BABULA,10-11-2011
ELŻBIETA,IWONA,ROCZEŃ,30-03-2019
ANNA,KATARZYNA,BENEDYSIUK,21-12-1950
EWA,MARIOLA,FILIPKOWSKA,10-09-1931
JOANNA,JÓZEFA,JEWIAK,04-07-2002
MARTYNA,MARIA,TSAPIV,18-06-1938
MARLENA,MONIKA,JÓZKOWSKA,12-02-2000
MAŁGORZATA,ALICJA,SAMBORSKA,11-09-1930
JANINA,BARBARA,POLEWCZAK,23-03-1974
KRYSTYNA,KRYSTYNA,UKHACH,18-08-1952
MAGDALENA,ANNA,WIERZBICKA,22-10-1973
DANUTA,ELŻBIETA,TANTAEVA,01-05-1994
ALEKSANDRA,DANUTA,TRUSZ,02-09-1952
LIUDMYLA,KATARZYNA,IWANOWSKA,22-11-2009
MAGDALENA,URSZULA,WANAT,08-07-1965
KAMILA,JOANNA,KOWALSKA,12-06-2003
JADWIGA,JOLANTA,GONCIARZ,27-02-1973
MARTA,ELŻBIETA,DAWID,29-11-1959
ANETA,MARLENA,KRAWIEC,11-07-2016
ZOFIA,MARIANNA,RUNOWIECKA,04-02-2006
WANESSA,MONIKA,KOWALSKA,07-06-1976
FRANCISZKA,ELŻBIETA,ZINKOVSKA,30-10-1996
JAGNA,AGNIESZKA,SKRZYNIARZ,17-09-1973
NADIA,MARIANNA,SIEPSIAK,11-03-1937
AGATA,KINGA,BANKIEWICZ,31-05-2010
MARIA,AGNIESZKA,KOZŁOWSKA,27-02-2013
KATERYNA,IRENA,BOBOWSKA,17-12-2013
OLGA,MAGDA,KOS,26-02-1951
ALEKSANDRA,ANTONINA,MYJAK,18-08-1931
KATARZYNA,ZUZANNA,KRUCZYŃSKA,02-07-2003
MIROSŁAWA,MARIA,KOZAKIEWICZ,25-07-2019
TERESA,JANE,HUCZEK,18-10-1948
JULIA,AGNIESZKA,ROSZKOWSKA,02-10-1949
MAŁGORZATA,ROZALIA,MUSZYŃSKA,03-04-1965
IWONA,MARIA,GAPIŃSKA,01-12-2022
ELŻBIETA,ANETA,SZOŁTYSEK,28-07-1942
DANUTA,MARIA,NOWICKA,16-11-1988
ANTON,KATARZYNA,FLIS,02-08-1935
JULIA,LIDIA,LANGIEWICZ,05-12-1963
JÓZEFA,MAGDALENA,AUGUSTYNEK,09-08-2018
OKSANA,DOROTA,SZERYŃSKA,02-11-1952
KATARZYNA,JADWIGA,KINICKA,17-01-1937
MARTA,MARIA,FRANCZAK,13-01-1981
ALEKSANDRA,ZOFIA,ANTOSZCZYK,13-09-1977
PATRYCJA,RENATA,FORMELA,11-03-1992
TERESA,MARIA,KRUK,24-12-1970
MARTA,DANUTA,BARSZCZ,08-04-2018
MARYLA,MARIOLA,CHOMIK,23-11-1955
ŁUCJA,KAROLINA,ŁUCZAK,23-02-2006
ALEKSANDRA,HALINA,PRUS,29-09-1946
NINA,BOŻENA,GABRYŚ,09-11-2015
RENATA,JOLANTA,DYMITR,08-08-1954
ADRIANNA,MARIA,KRAWCZYK,07-10-1964
IRENA,ZOFIA,BIŃCZAK,02-07-1945
MAGDALENA,ANNA,SZOPIERA,13-06-2005
REGINA,JOLANTA,BŁAŻEJEWSKA,29-11-2005
ROMANA,GRAŻYNA,HORDIIENKO,12-06-1993
ANNA,IRENA,WOJCZAK,18-07-1992
DAGMARA,MAŁGORZATA,PAJĄK,12-03-1968
LENA,BARBARA,REK,21-02-2001
MAGDALENA,FAUSTYNA,BUJAK,18-09-1989
DOROTA,JÓZEFA,PLICHTA,14-08-1988
RENATA,JULIA,ZUBYK,01-09-1930
ZOFIA,MARIA,MAIDANSKA,07-10-1994
GRAŻYNA,IWONA,OLCZAK,31-05-1930
LILIIA,KRYSTYNA,WALCZAK,06-06-1946
ANNA,IZABELA,KRAWCZYK,09-10-1979
VIKTORIIA,ANNA,IVANIUK,11-05-2014
AGNIESZKA,EMILIA,SIEWIERSKA,06-11-1924
MAGDALENA,MAGDALENA,BUDNER,09-11-1955
MARTA,JADWIGA,JASIK,13-07-1985
JOANNA,BOŻENA,BILAN,21-12-1937
ANDŻELIKA,EWELINA,VLASIUK,13-02-1991
LAURA,EWA,BUJOK,03-01-2000
VERA,WIESŁAWA,TYBOROWSKA,31-05-2021
PATRYCJA,ZOFIA,HACUŚ,12-02-1989
ELŻBIETA,MIECZYSŁAWA,KOŁODZIEJ,15-09-1990
ALICJA,EWA,SZULKOWSKA,13-01-1969
ZOFIA,MAŁGORZATA,TERESHCHUK,06-09-2003
JOLANTA,MARIA,ZACHWIEJA,19-04-1947
KATARZYNA,JAGODA,KNAPIK,09-03-1981
NATALIA,MARIA,LIS,15-07-2012
LENA,MARIA,WIŚNIEWSKA,15-01-1965
JADWIGA,KINGA,WALCZAK,26-07-1926
OLHA,RENATA,FOREŃSKA,20-08-2001
HELENA,JOLANTA,LIS,27-09-1989
OLENA,ELŻBIETA,ŁUCIUK,18-08-2017
TETIANA,WERONIKA,BĄK,28-05-1992
MARCELINA,AGNIESZKA,WAROK,14-04-1960
MAŁGORZATA,EMILIA,WOLAŃSKA,19-11-1950
MALWINA,MONIKA,KAMIŃSKA,18-06-1938
IZABELA,KRYSTYNA,RACHUNA,29-03-1939
KRYSTYNA,MAŁGORZATA,PARTYKA,27-02-1961
STANISŁAWA,EWA,PIOTROWSKA,16-10-1972
LENA,KAROLINA,SZWED,03-04-1964
OLENA,BARBARA,SZAL,11-09-1973
IWONA,BARBARA,MĄKINA,03-09-1932
MARIA,TERESA,WÓJT,11-02-1942
ROMANA,JANINA,FLORCZAK,10-02-1986
BEATA,TERESA,GŁOWACKA,30-09-1967
ELŻBIETA,BERNADETTA,OLEJNIK,28-05-2018
JUSTYNA,ANNA,LEWANDOWSKA,30-07-1976
MAJA,MAŁGORZATA,CZAJKOWSKA,20-03-1966
JOLANTA,IRENA,GNIAZDOWSKA,01-04-1962
ALEKSANDRA,JOLANTA,KUCHARCZYK,02-06-1974
SANDRA,EWA,MACIEJEWSKA,31-01-1929
JÓZEFA,MARIA,SĘKTAS,26-05-1987
ANNA,MONIKA,KOTHER,23-10-1970
JADWIGA,ANTONINA,PAWLETA,25-08-1931
KATERYNA,STANISŁAWA,KLOSKOWSKA,30-12-1937
SYLWIA,MARIA,NOWAK,20-04-2014
GRAŻYNA,AGNIESZKA,OŻGA,23-11-1966
IWONA,KAZIMIERA,LISIECKA,22-06-1925
JOANNA,JUSTYNA,KLEINSCHMIDT,02-09-1969
EWA,STANISŁAWA,KONOWOŁ,29-02-1960
ANNA,ZUZANNA,RUSIN,21-03-1966
MARIA,ANNA,DĄBROWSKA,20-06-1994
KATARZYNA,BOGUSŁAWA,OSIAK,29-07-1986
ALINA,BOŻENA,HAJNRYCH,19-08-1952
AMELIA,EWA,TURSKA,01-11-1936
ZOFIA,JADWIGA,MROCZKOWSKA,29-03-1949
AGNIESZKA,BOGUSŁAWA,OLSZEWSKA,08-07-1934
ALINA,URSZULA,LEWANDOWSKA,24-01-1948
DANUTA,JANINA,MOLIŃSKA,12-08-1978
YANA,MARIA,DZIMIRA,15-04-1961
GABRIELA,BARBARA,SHUBITIDZE,25-07-1992
VERONICA,MARIA,FEDORCHUK,26-06-1976
IRENA,NATALIA,CISEK,26-12-1966
IZABELA,ZUZANNA,ZAWADA,02-02-1966
IRENA,FRYDERYKA,DOMŻAŁ,06-05-1940
ANNA,IWONA,KOWALIK,27-05-1979
AGNIESZKA,JUSTYNA,WÓJT,09-05-1944
PAULINA,KRYSTYNA,BLOK,16-05-1992
DANUTA,KAROLINA,STALMACH,24-06-1932
SYLWIA,ANNA,MIKOŁAJCZAK,03-05-2010
MONIKA,KAMILA,URBAŃSKA,15-04-1989
MARIA,EWELINA,NIEWIADOMSKA,02-07-1989
NATALIA,EWA,KRASZKIEWICZ,06-05-2015
KRYSTYNA,MARIA,STACHOWICZ,05-10-1947
ALICJA,KAROLINA,RADOM,02-12-1931
NATALIA,MARIA,MODRZYŃSKA,13-05-1926
ZUZANNA,LEOKADIA,BOROWCZYŃSKA,26-09-1969
BOŻENA,JANINA,HOFFMANN,23-03-1928
ANITA,ANNA,KUBCZAK,14-11-2003
LIDIA,PAULINA,JANIK,27-06-1954
DOROTA,AGATA,LASOŃ,08-09-1978
KAROLINA,ELŻBIETA,WERNIKOWSKA,30-08-1962
ZOFIA,TERESA,TABROWSKA,21-02-2014
MARZENA,EWA,NOWAK,22-05-2020
JOLANTA,MARIA,KONIECKA,03-09-1957
MIROSŁAWA,ANNA,GRODZKA,31-10-2022
MARIA,KRYSTYNA,MAGDZIARZ,13-05-1942
EULALIE,BARBARA,URBANOWICZ,30-03-1980
IZABELA,KARINA,SOKOŁOWSKA,29-06-2021
BARBARA,ELŻBIETA,NICORICI,05-12-1963
LENA,LEOKADIA,BARAŃSKA,26-10-1965
ANNA,MARIA,DUDA,30-08-2017
MAGDALENA,ALICJA,SKRZYPEK,25-06-1990
SABINA,TERESA,SYCH,30-08-1944
IRYNA,ZOFIA,BASARA,10-12-1953
AGNIESZKA,DOROTA,SŁODOWA,08-09-1934
ANNA,JADWIGA,LELEŃ,05-01-1957
DANUTA,JOANNA,STELMACH,28-06-1990
WERONIKA,MARIA,NOWAK,09-07-1945
IRENA,ŁUCJA,ROGOZIŃSKA,05-12-1974
ROMA,BRONISŁAWA,GOLUBCOVA,01-04-1963
RENATA,ZOFIA,TRAN,12-07-1999
LUCYNA,PAULINA,KURA,22-03-1985
KATARZYNA,EWA,KOLANOWSKA,24-11-1951
AGATA,BEATA,BISKUPEK,05-07-1928
IRENA,LIDIA,PAKULSKA,03-12-1961
GABRIELA,GENOWEFA,ŚWIERGOLIK,30-04-2015
KINGA,KATARZYNA,WITKOWSKA,28-07-1975
AGNIESZKA,MARIA,PANEK,04-12-1928
STANISŁAWA,BEATA,MIGO,10-10-2016
ELŻBIETA,MARIA,CICHOCKA,02-07-1952
IZABELA,MARIA,JAKUBOWSKA,16-10-1984
JULIA,WŁADYSŁAWA,DOROSHYNA,18-01-1940
IZABELA,ELŻBIETA,ŁUCZAK,01-06-1972
BEATA,MARIA,SAMUL,19-11-1932
AMELIA,AGNIESZKA,MADEJ,18-04-1940
MAŁGORZATA,MAŁGORZATA,DOMARADZKA,26-04-1933
KRYSTYNA,ANNA,FABIANEK,23-12-1997
GABRIELLA,ANNA,PAWELCZYK,23-06-2000
ALEKSANDRA,JOANNA,SZPAK,16-05-1950
WIOLETTA,AGNIESZKA,MIDOR,11-12-1996
BARBARA,EDYTA,GĘSICKA,05-05-1986
AMELIA,MONIKA,DANOWSKA,23-07-1998
PAULINA,JOLANTA,LIPA,20-08-1933
SVITLANA,KAZIMIERA,PAŚ,06-03-1970
ALEKSANDRA,ANNA,STAWICKA,15-09-1924
AMELIA,DOLORES,KIJOWSKA,09-05-1999
YANA,MAŁGORZATA,GRODZIŃSKA,24-06-1977
ALEKSANDRA,ANNA,ŁANOWSKA,20-09-1939
ADRIANA,KINGA,JASIŃSKA,22-01-2021
ANASTASIA,MAŁGORZATA,KARPIŃSKA,06-03-1954
ALICJA,TERESA,PASTUSZKA,23-04-1998
REGINA,WIESŁAWA,KOMADA,22-10-1945
GRAŻYNA,HELENA,KWIECIŃSKA,10-01-1958
KAZIMIERA,ANNA,SUCHARSKA,15-10-1931
DOMINIKA,ANTONINA,JELENIEWICZ,17-03-1990
BOŻENA,MAŁGORZATA,JĘKNER,06-01-1932
MAŁGORZATA,ANNA,CHYHRYN,18-09-2003
KATERYNA,AGNIESZKA,BURBULA,07-07-1939
JOANNA,BARBARA,FABISZEWSKA,24-10-1987
ANNA,ANNA,PODLASKA,10-09-2013
MAGDALENA,KRYSTYNA,ŻUCHOWICZ,10-08-2008
BARBARA,DOMINIKA,STASIAK,07-01-1947
ANNA,JUSTYNA,KUSIA,21-06-1952
ALEKSANDRA,TERESA,STOLARCZYK,23-05-1986
IGA,JOANNA,JASINOWSKA,05-10-1992
ANITA,ELŻBIETA,BIANGA,12-05-1954
KATARZYNA,EWA,ZYGMUNT,02-02-1982
ALINA,ŁUCJA,ZAITSEVA,09-09-1989
IZABELA,KATARZYNA,SOCHA,08-06-1942
BOŻENA,JOLANTA,CZAJKA,25-06-2018
MARTYNA,ANNA,KOMOROWSKA,08-06-1983
JULIA,ANETA,LUTRZYKOWSKA,08-02-1953
WIOLETA,KATARZYNA,JACHALSKA,23-03-2013
EWA,IRENA,DZIĘCIOŁ,14-11-2003
KATARZYNA,MATYLDA,JURKIEWICZ,23-06-1995
EWA,DANUTA,ŻEBROWSKA,28-09-2005
JAGODA,MARIA,GARLIŃSKA,22-08-1956
IRENA,NATALIA,KASPERCZAK,17-09-1984
PAULINA,MARTA,TWORZYDŁO,23-07-1993
IRENA,ZOFIA,MAJEWSKA,30-08-1924
ANNA,EWA,MAREK,21-12-1975
IZABELA,HENRYKA,WASYLIK,30-01-2004
KRYSTYNA,JULIA,SADOWSKA,03-10-1927
NELIA,BARBARA,KOŁODZIEJCZYK,14-07-1954
HALINA,MARIKA,KORZENIEWSKA,18-05-1988
BARBARA,TERESA,KOLEGA,09-01-2004
ZOFIA,ELŻBIETA,SZRAMKA,18-12-1927
WANDA,MARIA,ZYGLEWSKA,13-09-2004
KAROLINA,MAGDALENA,CHOMIAK,14-12-1983
RENATA,MARIA,BOCHNIAK,16-12-1975
IRYNA,BERNADETA,KUJAWA,24-07-1948
BEATA,BARBARA,WOŹNIAK,17-12-1992
IRYNA,NATALIA,SOJAK,13-01-1937
MARIIA,JADWIGA,KUGACZEWSKA,03-09-1956
IRENA,PAULINA,FIDKOWSKA,05-06-1936
BOGUMIŁA,ELŻBIETA,KUCZABO,07-11-1999
AMELIA,MARIANNA,ZERKA,06-12-1956
ZOFIA,KINGA,MAKARSKA,20-06-1973
MARIA,AGNIESZKA,PAWLACZYK,28-04-1953
URSZULA,EUGENIA,NIKEL,12-03-1995
ANGELIKA,WIKTORIA,ROSTKOWSKA,07-06-1947
DOROTA,LIDIA,PIĄTYSZEK,08-01-1949
HALINA,MARIA,MUZYCHENKO,12-02-1934
LAURA,WANDA,KACZMAREK,11-07-2023
PATRYCJA,TERESA,BIENAS,12-12-1967
ZUZANNA,ANNA,STĘPNIAK,28-02-1992
MARIANNA,MARIA,PIETROŃ,12-06-1978
PAULINA,MARTA,CICHOSZ,03-04-1980
JULIA,JANINA,SIKORA,28-03-1976
JOLENTA,ALICJA,KOŚCIECHA,19-09-2004
MAŁGORZATA,MARIA,ZHURAVETSKA,03-10-2005
PAULINA,EWA,KOŁTUN,18-03-2023
URSZULA,WANDA,PIOTRAK,09-07-1975
STEFANIA,BOŻENA,CZAPIEWSKA,29-08-1974
BARBARA,ALEKSANDRA,DANIELUK,24-04-1969
ANTONINA,MAGDALENA,WILOCH,02-12-1984
EWA,ANNA,MAGRYTA,03-11-1942
GRAŻYNA,MARIA,KUBERA,24-12-1929
ANETA,BARBARA,ZIELIŃSKA,26-11-1993
ZUZANNA,BOŻENA,LISIEWICZ,12-05-1985
ŁUCJA,MAGDALENA,WITEK,10-11-1977
JADWIGA,ELŻBIETA,KUCIŃSKA,11-04-1955
JULIA,JÓZEFA,CHUDA,01-05-1973
HALINA,JAGODA,LYNCH,08-09-1958
ZUZANNA,ANNA,WARCHOŁ,26-11-1991
LENA,MARIA,SŁOWIKOWSKA,03-07-1978
KATARZYNA,KAROLINA,DZIURDZIEWSKA,17-08-1951
JOANNA,TERESA,KALINOWSKA,23-11-1989
ALEKSANDRA,MALAIKA,KIEŁBOWSKA,24-04-1961
WIESŁAWA,KATARZYNA,GROSS,12-09-1928
DIANA,MARIA,MAGA,09-09-2016
KATARZYNA,ELIZABETH,BUŁKA,05-06-2004
MAŁGORZATA,ANNA,KLIMA,28-09-1985
BOŻENA,BOGUMIŁA,GARBACZ,12-01-1985
AGNIESZKA,JÓZEFA,TRĄBIŃSKA,25-01-1991
JOANNA,GERTRUDA,KOLESOVA,13-05-1948
BOŻENA,NATALIA,ZEMCZAK,21-04-1959
AGNIESZKA,ANNA,MAJ,12-01-1945
WIESŁAWA,ANNA,BIAŁEK,30-08-1987
OLHA,REGINA,STEPEK,03-04-2014
MONIKA,JUDYTA,CICHOŃSKA,13-12-2007
EDYTA,AGATA,CIEŚLAK,06-01-2010
EWA,BOŻENA,ASTAPCZYK,18-01-1991
MARIA,MAGDALENA,ŁADOSZEK,07-04-1925
DANUTA,KRYSTYNA,SHEVCHUK,16-10-2016
MARZENA,MARIANNA,KRUŻEL,06-11-2013
ELŻBIETA,ZDZISŁAWA,BERNADZIKIEWICZ,18-06-1958
ELŻBIETA,FRANCISZKA,DONDZIŁO,10-11-1972
ELLADA,TERESA,KACZOREK,27-05-1935
KATARZYNA,MARIA,KRYVULKA,30-10-1997
SOFIIA,KAROLINA,KOWALCZYK,24-01-2022
MIRA,DIANA,SIPKA-DUTKOWSKA,07-04-2018
MONIKA,STEFANIA,PARZONKA,06-06-1992
REGINA,TERESA,SZYMAŃSKA,11-04-1971
MAGDALENA,ŻANETA,PODSTAWSKA,26-04-1924
VIKTORIA,AGNIESZKA,WASZKOWIAK,19-04-2009
NIKOLA,OTYLIA,SAVICHENKO,18-08-1995
ANETA,KRYSTYNA,ZYCH,04-04-1929
ALINA,ANNA,GRELA,19-12-1966
BLANDYNA,JADWIGA,GOSEK,24-12-1967
BARBARA,GRAŻYNA,GRANT,12-10-1944
SYLWIA,ŁUCJA,MAJEWSKA,03-03-1993
GRAŻYNA,JADWIGA,SOWA,18-01-2019
KRYSTYNA,RENATA,TARASIUK,12-10-2002
ALONA,HANNA,ŁUKASZEK,18-10-1970
JUSTYNA,HALINA,KUSKA,20-12-2006
WIKTORIA,MARIA,MAŃKOWSKA,16-09-1980
ANNA,KRYSTYNA,SZCZĘŚNIAK,29-10-1991
KATARZYNA,AGATA,BIBER,18-12-1978
IRYNA,ELŻBIETA,GĘSTWA,08-07-2018
EWA,PATRYCJA,CHMIELNICKA,29-11-1945
NADIIA,KATARZYNA,KAMIŃSKA,18-08-1946
BOŻENA,MARIANNA,SŁYSZ,26-11-2001
OLGA,TERESA,ŁANOSZKA,04-08-1978
MAŁGORZATA,ELEONORA,BIELA,28-04-2021
MARTA,MARIA,OLSZEWSKA,22-08-2004
BARBARA,ANNA,PANDYRA,27-07-1984
KAROLINA,EWA,PAWLAK,09-10-2007
DOMINIKA,ELWIRA,KOWALIK,26-11-1942
JOLANTA,BARBARA,SZERSZEŃ,31-10-1967
PATRYCJA,TERESA,CHROBOT,26-09-1980
SOFIIA,TERESA,KALISIAK,18-02-2017
ELWIRA,KATARZYNA,BARANOWSKA,11-09-2013
KATARZYNA,KLAUDIA,NOWAK,14-02-1926
ELŻBIETA,MARIA,PĘDZIMĄŻ,17-03-1927
KATARZYNA,KATARZYNA,LEREK,18-08-1984
TERESA,MARIA,PIECZYŃSKA,20-04-1942
INNA,GRAŻYNA,PIOTROWSKA,18-05-2021
BOŻENA,MARIA,CHOROSZUCHO,10-05-1937
MICHALINA,HIACYNTA,GRONERT,13-04-1943
ZENOBIA,BEATA,CIEŚLA,28-09-1970
URSZULA,EDYTA,SIKORA,29-11-2023
DAGMARA,EDYTA,STYŚ,14-12-1933
NATALIA,BARBARA,BINIASZ,01-07-1940
DOROTA,MARIA,NOWICKA,20-07-1956
JADWIGA,ANNA,LINOWSKA,15-06-2007
MAJA,MARIA,VASYLOKHA,23-06-2002
JULIA,MARIA,JACKOWSKA,15-06-1937
STANISŁAWA,AGNIESZKA,GRZESINA,01-08-1996
ANTONINA,GRAŻYNA,TREŚCIŃSKA,27-05-1965
ADRIANNA,ANNA,KOROLCHUK,24-01-1990
ELŻBIETA,HALINA,RUDZIŃSKA,10-09-2003
MARYNA,EMANUELA,MATUSZAK,05-03-1949
VERONIKA,WIKTORIA,ŻÓŁKIEWICZ,03-07-1969
AMELIA,BOGUMIŁA,BEHRENDT,02-11-1934
HALINA,MAGDALENA,KUCZYŃSKA,23-07-1950
EWELINA,WIKTORIA,SITKO,19-10-2003
KAMILA,JOWITA,BUCZYŃSKA,04-09-1978
ANTONINA,MAŁGORZATA,BARUTOWICZ,17-02-1963
BOGUSŁAWA,ANNA,SOBOLEWSKA,24-06-1929
JÓZEFA,URSZULA,WĘCKOWICZ,12-08-2023
LAURA,MARIA,SZEWCZYK,30-07-1993
ANGELIKA,MARIA,FORTUNA,21-05-2006
LIUDMYLA,JADWIGA,TYMECZKO,13-06-1972
BEATA,MARIANNA,KOWALSKA,22-04-1997
ALEKSANDRA,MARIA,JASILKOWSKA,07-04-1957
EUNJEONG,RENATA,BERNADZIK,18-05-1970
JOWITA,STANISŁAWA,ŁASKAWIEC,11-10-1979
ANNA,MARIA,BROJEK,25-01-1948
MIA,MAGDALENA,ŻMIJOWSKA,31-12-1941
MONIKA,ANNA,KLOC,12-09-1995
PAULINA,RADZISŁAWA,ŁUKAWSKA,22-04-1998
ELŻBIETA,KAMILA,KUCHNOWSKA,17-04-1983
HALINA,ŻANETA,MAVRANGELIDOU,22-01-1959
KRYSTYNA,ALEKSANDRA,AJS,22-06-1924
ZOFIA,JOANNA,BOLEK,23-08-1972
MARIA,SYLWIA,MUSIALIK,16-06-1964
OLENA,IGA,KSIĄŻNICKA,09-10-1998
DARIA,ELŻBIETA,STOREK,07-12-1925
MAGDALENA,PAULINA,OSTRYCHACZ,30-12-1966
KATARZYNA,MAŁGORZATA,CZAJA,27-08-1929
HALINA,HELENA,YAKOVENKO,30-08-1943
IWANNA,JADWIGA,OŁOWIECKA,18-01-2011
MAŁGORZATA,ANNA,GRZESIAK,19-08-1988
WIKTORIA,MAGDALENA,KOSEWSKA,01-01-2021
ALICJA,LAURA,KLIMASZEWSKA,22-01-2002
MARTA,ANNA,KARWOWSKA,13-05-1990
ANTONINA,AGATA,GONET,25-05-1966
MAŁGORZATA,IZABELA,GWIZDAŁA,12-12-1985
MAGDALENA,RÓŻA,STEC,31-03-1962
KRYSTYNA,IRENA,WOCH,27-01-1986
JOANNA,KATARZYNA,KANCLERZ,12-06-2020
BOGUMIŁA,DOROTA,LISICKA,18-10-2006
TERESA,ANNA,SKALSKA,28-01-1933
DANUTA,ANNA,PRZYSTAJKO,10-10-2018
KRYSTYNA,IZABELA,MOŃ,11-11-1936
KLAUDIA,KAROLINA,GWIŻDŻ,05-01-1931
WIKTORIA,BOŻENA,KWIATKOWSKA,30-12-2006
WANDA,MARIA,OLESKA,19-05-1992
TETIANA,DOROTA,GAWIN,26-03-1999
MICHALINA,ELŻBIETA,CHMIELIK,29-03-1990
AGNIESZKA,HANNA,HRYHORENKO,06-07-1944
ANNA,FRANCISZKA,GAJC,07-10-1991
KAJA,TERESA,DULIŃSKA,03-03-1951
BARBARA,MOHAMED,TABISZEWSKA,26-11-1993
DANUTA,IRENA,MATYS,22-07-1988
JADWIGA,STANISŁAWA,CZAJKA,06-04-2005
ZOFIA,ANNA,CIEŚLAK,14-08-1943
JULIA,KAROLINA,MAZA,06-11-1976
MARTA,EUGENIA,JURASIK,21-09-1974
MARTYNA,MARIA,SIERZYŃSKA,10-06-1983
MAŁGORZATA,MAGDALENA,KOZŁOWSKA,10-03-1960
KATARZYNA,MARIA,OLSZEWSKA,23-03-1978
MAGDALENA,HELENA,ŚLAZA,06-08-1965
PAULINA,HELENA,SEMCZYSZYN,05-10-1931
MARISA,BOŻENA,GRONOWSKA,30-09-2008
MARIA,MARTA,KRAWCZYK,30-03-2002
